29,Dutch Kills,"['27-24 Jackson Ave', 'Long Island City, NY 11101']",3lLBRLbXAIgd1yZgWgnfeg,4.0,778,"{'latitude': 40.747615, 'longitude': -73.940159}",$$
30,Oak and Iron,"['147 Franklin St', 'Brooklyn, NY 11222']",_wGh4AYcmSicLTtxwmdPlA,4.0,60,"{'latitude': 40.731459, 'longitude': -73.958108}",$$
31,Boobie Trap,"['308 Bleecker St', 'Brooklyn, NY 11237']",SBkebBPuX2mRUQ9VaQ91NQ,4.0,273,"{'latitude': 40.7003517876193, 'longitude': -73.9161294247438}",$
32,O'Hara's Restaurant and Pub,"['120 Cedar St', 'Ste 4', 'New York, NY 10006']",ZnhRUBos9FGQZrzbcPn6Vg,4.0,467,"{'latitude': 40.7093473589949, 'longitude': -74.0122557367896}",$$
33,The Honey Well,"['3604 Broadway', 'New York, NY 10031']",2iW5TU4W0BN8LYBzVmO9Qw,4.5,231,"{'latitude': 40.82849, 'longitude': -73.94862}",$$
34,Clem's,"['264 Grand St', 'Brooklyn, NY 11211']",zW_jPg9Mx9ab-vHph0sfDA,4.0,84,"{'latitude': 40.71327, 'longitude': -73.95856}",$
35,The Alcove,"['41-11 49th St', 'Sunnyside, NY 11104']",MNNpsRXe7Wt5m3Jla9Wk0w,5.0,928,"{'latitude': 40.7459065, 'longitude': -73.915103}",$$
36,Midnights,"['149 N 6th St', 'Brooklyn, NY 11249']",xI0H0K1MAq1U6NTp1xFreA,4.0,216,"{'latitude': 40.71748, 'longitude': -73.95843}",$$
37,Onieals Grand Street,"['174 Grand St', 'New York, NY 10013']",oCeDS1HexV3bWSJLxmjqXQ,4.0,331,"{'latitude': 40.719676, 'longitude': -73.997874}",$$
38,The Double Windsor,"['210 Prospect Park W', 'Brooklyn, NY 11215']",xd7ioU33jkwx0hQ3kUNIOg,4.0,422,"{'latitude': 40.66063, 'longitude': -73.98056}",$$
39,Full Circle Bar,"['318 Grand St', 'Brooklyn, NY 11211']",scel8fnT2GAB5YmKNz1VMw,4.0,162,"{'latitude': 40.7124, 'longitude': -73.95672}",$
40,Fishmarket Restaurant,"['111 South St', 'New York, NY 10038']",LpVbI-E9C-CSp7WhU5h2Iw,4.5,560,"{'latitude': 40.70717, 'longitude': -74.00192}",$$
41,Iona,"['180 Grand St', 'Brooklyn, NY 11211']",9koSLiiwQDvKvtaSkeknLw,4.0,149,"{'latitude': 40.71416, 'longitude': -73.961097}",$$
42,Black Rabbit,"['91 Greenpoint Ave', 'Brooklyn, NY 11222']",jJfCbhEnI5PMPW_vS-Pp6g,4.0,179,"{'latitude': 40.7301408235242, 'longitude': -73.9563193070954}",$$
43,Lion's Head Tavern,"['995 Amsterdam Ave', 'New York, NY 10025']",Y_8ZwQYDznZX1-rs_wm6RQ,4.0,223,"{'latitude': 40.80214, 'longitude': -73.96406}",$$
44,Jimmy's Corner,"['140 W 44th St', 'New York, NY 10036']",xprzjm5svSSUCZOnaUbQDQ,4.0,606,"{'latitude': 40.7566, 'longitude': -73.98483}",$
45,Nostrand Avenue Pub,"['658 Nostrand Ave', 'Brooklyn, NY 11216']",XaAj9qfWoQ048-5D9ciX-g,4.0,95,"{'latitude': 40.675862, 'longitude': -73.950236}",$
46,Henry Street Ale House,"['62 Henry St', 'Brooklyn, NY 11201']",lqkqsHe_2KN35LE5JIaYNg,3.5,230,"{'latitude': 40.69909448771299, 'longitude': -73.9924659}",$$
47,Blind Tiger Ale House,"['281 Bleecker St', 'New York, NY 10014']",PMp7WlHIXQUnej-Ds1jRfw,4.0,889,"{'latitude': 40.731926, 'longitude': -74.003223}",$$
48,Minibar,"['482 Court St', 'Brooklyn, NY 11231']",2_1FxCMLvK46Vt81VlIS7A,4.5,61,"{'latitude': 40.677463, 'longitude': -73.998466}",$$
49,Mother's Ruin,"['18 Spring St', 'New York, NY 10012']",p5JbHNDAXBJpqcGTsmTMBQ,3.5,467,"{'latitude': 40.72135, 'longitude': -73.99502}",$$
0,The Folly,"['92 W Houston St', 'New York, NY 10012']",1vAMfzO6i89lDayBT1zlLA,4.0,222,"{'latitude': 40.72721, 'longitude': -74.00004}",$$
1,The Craic,"['488 Driggs Ave', 'Brooklyn, NY 11211']",PxyxNj43WSDjRF588HFJdQ,4.0,103,"{'latitude': 40.71852, 'longitude': -73.95504}",$$
2,The Ribbon,"['20 W 72nd St', 'New York, NY 10023']",WqmqQ8c9NivfIRn3sO2KiA,3.5,427,"{'latitude': 40.7765198, 'longitude': -73.9774628}",$$
3,Fools Gold NYC,"['145 E Houston St', 'New York, NY 10002']",JagEH-imezk2KbM3RNDbXg,4.0,319,"{'latitude': 40.7231079, 'longitude': -73.9897536}",$$
