,Name,Address,Business ID,Rating,Review Count,Coordinates,Price
33,Joe's On Newbury,"['181 Newbury St', 'Boston, MA 02116']",smiGOZuyboXfc8LyC2jXpg,3.5,994,"{'latitude': 42.350469, 'longitude': -71.079786}",2
34,Lincoln Tavern and Restaurant,"['425 W Broadway', 'Boston, MA 02127']",rdpY_LeMnDnfeK47eDnDOw,4.0,883,"{'latitude': 42.336323, 'longitude': -71.0476}",2
35,Jm Curley,"['21 Temple Pl', 'Boston, MA 02111']",09pqlAR4TSjQXNTiB4cXjw,3.5,801,"{'latitude': 42.3552425760626, 'longitude': -71.0623372441206}",2
36,Coppersmith,"['40 West 3rd St', 'Boston, MA 02127']",DXho4NyanHYoI84uev9Omw,3.5,529,"{'latitude': 42.342445, 'longitude': -71.053848}",2
37,Delux Café,"['100 Chandler St', 'Boston, MA 02116']",zZ7roMv_c8R4slTMPPdkng,4.0,318,"{'latitude': 42.34628, 'longitude': -71.07289}",2
38,The Tip Tap Room,"['138 Cambridge St', 'Boston, MA 02114']",MKIngNGj0_cBKV4leGuCjw,4.0,721,"{'latitude': 42.36105, 'longitude': -71.063986}",2
39,Brick & Mortar,"['567 Massachusetts Ave', 'Cambridge, MA 02139']",n-5xA19txqjxmRdKB3A6bg,4.0,263,"{'latitude': 42.3648518001961, 'longitude': -71.1024431306885}",2
40,Stats Bar & Grille,"['77 Dorchester St', 'Boston, MA 02127']",pzCrO7RatLAB9ThsOSRu9A,3.5,137,"{'latitude': 42.33583, 'longitude': -71.04535}",2
41,Cask'n Flagon,"['62 Brookline Ave', 'Boston, MA 02215']",bsGuOhibpJc-MHNXj9kiUg,3.5,608,"{'latitude': 42.347299978137, 'longitude': -71.0983470082283}",2
42,JJ Foley's Bar & Grille,"['21 Kingston St', 'Boston, MA 02111']",8M0tAAyPMfsvHNWWUQ237Q,3.5,178,"{'latitude': 42.35384, 'longitude': -71.0592099}",1
43,The Beehive,"['541 Tremont St', 'Boston, MA 02116']",367aDatN4B0UNT4hNPMqPQ,3.5,2195,"{'latitude': 42.344493, 'longitude': -71.071497}",2
44,Sidebar Boston,"['14 Bromfield St', 'Boston, MA 02108']",UAtX7xmIfdd1W2Pebf6NWg,3.5,240,"{'latitude': 42.3563686, 'longitude': -71.0598171}",1
45,Green Street,"['280 Green St', 'Cambridge, MA 02139']",JdWplSS3RfBFamm4FshtcA,4.0,694,"{'latitude': 42.36452, 'longitude': -71.10419}",2
46,The Druid,"['1357 Cambridge St', 'Cambridge, MA 02139']",f4zeVunnSBiO_yGhXgcahA,4.5,565,"{'latitude': 42.37382, 'longitude': -71.10021}",2
47,Eddie C's Bar,"['34 Maverick Sq', 'Boston, MA 02128']",FK2GaRPMyrA5oxZYToqTsw,4.0,35,"{'latitude': 42.36996, 'longitude': -71.03935}",1
48,The Gaff,"['467 Moody St', 'Waltham, MA 02453']",ZT_xafbgHg3Zj0emqYw5Jg,4.5,320,"{'latitude': 42.3681742697954, 'longitude': -71.2374946475029}",2
49,Sullivan's Pub,"['85 Main St', 'Charlestown, MA 02129']",HkGEmanL0nyQ8llX4t_z3w,4.5,34,"{'latitude': 42.37398, 'longitude': -71.06293}",1
50,The Washington Square Tavern,"['714 Washington St', 'Brookline, MA 02445']",_vsgjhqs356JqeAPsP6XOQ,4.0,323,"{'latitude': 42.339123, 'longitude': -71.135212}",2
51,OAK Long Bar + Kitchen,"['138 St. James Ave', 'Boston, MA 02116']",DZnhcxnSys_emI7ZHd5jYg,3.5,336,"{'latitude': 42.349092, 'longitude': -71.076187}",3
52,backbar,"['7 Sanborn Ct', 'Somerville, MA 02143']",V6IKFLo-rJdMRJEbuLLD3g,4.5,382,"{'latitude': 42.3797392845154, 'longitude': -71.0945945978165}",2
53,Boston Chops South End,"['1375 Washington St', 'Boston, MA 02118']",RDZJY7ls8-2hNkkXFIJg4g,4.0,622,"{'latitude': 42.3415074053928, 'longitude': -71.0696210990184}",3
54,Grill 23 & Bar,"['161 Berkeley St', 'Boston, MA 02116']",_98MfEQ67r9-V78gmy8_Pg,4.0,1048,"{'latitude': 42.3494218727725, 'longitude': -71.0720500564835}",4
55,Tony C's Sports Bar & Grill,"['250 Northern Ave', 'Boston, MA 02210']",-bC1fMN5kQgFruzUR8E_RA,2.5,533,"{'latitude': 42.34897, 'longitude': -71.038619}",2
56,Back Bay Social,"['867 Boylston St', 'Boston, MA 02116']",6cGcl4ZDDxDtfxyc6PKFPQ,3.5,689,"{'latitude': 42.34872, 'longitude': -71.08345}",2
57,The Publick House,"['1648 Beacon St', 'Brookline, MA 02445']",rK-fgI2_-x0T4lxwF9L4Ww,4.0,1194,"{'latitude': 42.3394130267999, 'longitude': -71.1367036548893}",2
58,Wink & Nod,"['3 Appleton St', 'Boston, MA 02116']",4-Tp4hstdC5XVvO4otGkuA,4.0,450,"{'latitude': 42.3466991630507, 'longitude': -71.0694792474231}",3
59,Solas Irish Pub,"['710 Boylston St', 'Boston, MA 02116']",ZepRG9iVXXA-u3gH5C-UKA,3.5,378,"{'latitude': 42.34927, 'longitude': -71.079759}",2
60,Beantown Pub,"['100 Tremont St', 'Boston, MA 02108']",V8_e5MRjfexH4WFBqjDWCg,3.0,636,"{'latitude': 42.357451481565, 'longitude': -71.060911746876}",2
61,Barcelona Wine Bar South End,"['525 Tremont St', 'Boston, MA 02116']",mP1EdIafQKMuOm9O4PzAfA,4.5,1130,"{'latitude': 42.3449355147724, 'longitude': -71.0705436362457}",2
62,Allston Billiards,"['445 Cambridge St', 'Fl 2', 'Boston, MA 02134']",WhOZfqo49chqzdt15iluQA,5.0,6,"{'latitude': 42.35467, 'longitude': -71.13542}",1
63,Dunn-Gaherin’s Food and Spirits,"['344 Elliot St', 'Newton, MA 02464']",BRPrmJoGYtDRwtPl-vh-zQ,4.5,351,"{'latitude': 42.31271, 'longitude': -71.22397}",2
64,75 Chestnut,"['75 Chestnut St', 'Boston, MA 02108']",qVNYCZi2ofv-oe293JsYkg,4.0,492,"{'latitude': 42.35695, 'longitude': -71.07097}",2
65,Worden Hall,"['22 W Broadway', 'Boston, MA 02127']",Y7B9tTmHPXgNwu5SRGtgtQ,4.0,348,"{'latitude': 42.3427610900378, 'longitude': -71.0568092748732}",2
